hidden,g,phi,task,mse_control,std_control,mse_lesion_connectivity,std_lesion_connectivity,mse_lesion_activity,std_lesion_activity
16,0.9,tanh,discrimination,-8.943165413919509,-6.456749460046064,-2.9432051794055796,-1.4729745428566863,-2.9061295835327017,-1.525563068569894
16,0.9,tanh,flop,-9.40415135175248,-7.139206395623993,-3.887578264029592,-3.801677369812109,-4.199362742568488,-4.105972735634799
16,0.9,tanh,integrator,-8.66735503347056,-6.656478936414447,1.1833244177122373,1.016860527794828,0.3060833703261658,0.48498139574345206
16,0.9,relu,go,-9.224128294754598,-7.658741148681514,-9.224128294754598,-7.658741148681514,-9.224128294754598,-7.658741148681514
16,0.9,relu,discrimination,-9.257931442455623,-7.881177893065041,-9.257931442455623,-7.881177893065041,-9.257931442455623,-7.881177893065041
16,0.9,relu,flop,-9.109058022000696,-6.7140302862896215,-0.3062444242095784,0.33631944973038175,-0.3062444242095784,0.33631944973038175
16,0.9,relu,integrator,-8.871627443140342,-8.26538250530332,0.35245209916985204,0.35803622153151843,0.35245209916985204,0.35803622153151843
32,0.1,tanh,go,-9.185407059279573,-7.545723179093758,-0.7783446029317953,-0.731842642963905,-0.46041355001275347,-0.45468697907366307
32,0.1,tanh,discrimination,-9.0044271507172,-6.157100755975319,-2.439824134737307,-1.4330575762461677,-2.075087972233333,-1.382735152772801
32,0.1,tanh,flop,-8.987339042800883,-6.104031715477749,-5.065498716308274,-5.483834346984968,-4.8433860778506865,-5.386262200379968
32,0.1,tanh,integrator,-8.200116548403141,-7.241173602863799,-0.7983317058117082,-0.2197236883635394,-0.7777931888437482,-0.18734547568134885
32,0.1,relu,go,-9.26472217933787,-7.743327536410972,-9.26472217933787,-7.743327536410972,-9.26472217933787,-7.743327536410972
32,0.1,relu,discrimination,-7.40502548722327,-5.488210393103448,-7.40502548722327,-5.488210393103448,-7.40502548722327,-5.488210393103448
32,0.1,relu,flop,-9.19793244273542,-7.162101398313768,-9.201356430970543,-7.1626571886958414,-9.201356430970543,-7.1626571886958414
32,0.1,relu,integrator,-9.306510848766663,-8.798372779820998,-9.306510848766663,-8.798372779820998,-9.306510848766663,-8.798372779820998
32,0.5,tanh,go,-9.071070573036277,-6.722057128654259,-0.3551896099323449,-0.3574215749302738,-0.41766058067644257,-0.4124136437614781
32,0.5,tanh,discrimination,-9.262949609849544,-7.238189725766742,-2.1442300838975465,-0.619963882437302,-2.7107082831339806,-1.3448082957616547
32,0.5,tanh,flop,-9.412611928000533,-7.200212440322812,-5.962250283904831,-5.775322530734069,-5.559755858443448,-5.071955342470194
32,0.5,tanh,integrator,-9.687056822926472,-8.755731904951734,-1.0185487195865026,-0.4703438627472518,-0.8936944093114031,-0.37683005347516746
32,0.5,relu,go,-9.175221356412058,-6.522552659661104,-9.175221356412058,-6.522552659661104,-9.175221356412058,-6.522552659661104
32,0.5,relu,discrimination,-8.620082921232207,-5.710006694140022,-2.543596353302111,-1.0595841709361895,-2.8149380943063322,-1.269947530194338
32,0.5,relu,flop,-9.485933275544895,-7.092108201996743,-0.970394579213687,0.04909672346805279,-1.1274874227579785,-0.03169400197385338
32,0.5,relu,integrator,-8.93217057196969,-8.018125520806041,-8.93217057196969,-8.018125520806041,-8.93217057196969,-8.018125520806041
32,0.9,tanh,go,-9.406400220507532,-7.384217134871665,-0.035582054547962406,-0.014777654768770928,0.4610864885671306,0.15534736973202753
32,0.9,tanh,discrimination,-9.138863230982576,-6.8551382052234615,-2.750955706666451,-1.1422992423037226,-2.5926052662614394,-1.2333172187285988
32,0.9,tanh,flop,-9.336571167920216,-7.273133731559261,-1.2446656033627865,-0.02097425736215982,-0.9281719786653485,0.04109348781398259
32,0.9,tanh,integrator,-9.526849056783401,-8.744202123586877,-0.7219799834757324,-0.28368464070992166,-0.7156719127636274,-0.27625417587257795
