hidden,g,phi,task,mse_control,mse_lesion_connectivity,mse_lesion_activity,log_mse_control,log_mse_lesion_connectivity,log_mse_lesion_activity
16,0.1,tanh,go,0.005050383973866701,0.2738884389400482,0.09213348478078842,-5.28829100415629,-1.2950344126581552,-2.384516831972391
16,0.1,tanh,discrimination,0.0006189897540025413,0.4376465380191803,0.43386077880859375,-7.387421837916605,-0.8263436852218612,-0.8350315824999308
16,0.1,tanh,flop,0.00011183798778802156,0.0029314961284399033,0.002929080743342638,-9.098459271521696,-5.8322423622363315,-5.833066644653188
16,0.1,tanh,integrator,0.05488189682364464,0.17340733110904694,0.3243904411792755,-2.9025717330487395,-1.7521119369305238,-1.1258074233301458
16,0.1,relu,go,0.014537712559103966,0.014511194080114365,0.013781849294900894,-4.231009139809752,-4.232834921873464,-4.2844028210292056
16,0.1,relu,discrimination,297369.46875,0.048053108155727386,0.05410287529230118,12.602730647180065,-3.035448459794663,-2.9168679468099925
16,0.1,relu,flop,0.00020525669970083982,0.00019453723507467657,0.00022832848480902612,-8.491249168503856,-8.544886973255435,-8.384725243008637
16,0.1,relu,integrator,0.0011701323091983795,0.0010952305747196078,0.0014182584127411246,-6.750638451781135,-6.816790367360343,-6.558325629999323
16,0.5,tanh,go,0.02332175150513649,0.09922242909669876,0.4846804738044739,-3.758368812895889,-2.310391190482901,-0.724265422057863
16,0.5,tanh,discrimination,0.00040053605334833264,0.7566714882850647,0.4534035623073578,-7.822706774662717,-0.27882608501219575,-0.7909726840640601
16,0.5,tanh,flop,0.00014102118439041078,0.005467401817440987,0.005379175301641226,-8.866600434967967,-5.208951763061377,-5.225220206216269
16,0.5,tanh,integrator,0.020529527217149734,0.44937318563461304,0.46564847230911255,-3.885891077093729,-0.7999015880457405,-0.7643242807905756
16,0.5,relu,go,0.029915163293480873,0.029558947309851646,0.03317811340093613,-3.5093897935730283,-3.5213687955169193,-3.4058648553621373
16,0.5,relu,discrimination,0.07027966529130936,0.06104055792093277,0.06904354691505432,-2.655272778177294,-2.796216751796515,-2.673017858743082
16,0.5,relu,flop,0.00020062996190972626,0.00019905214139726013,0.00019509052799548954,-8.514048332125514,-8.521943750488601,-8.542046860998706
16,0.5,relu,integrator,0.0008468487649224699,0.001056921435520053,0.0009148352546617389,-7.073988433065392,-6.852394902652082,-6.9967665584496315
16,0.9,tanh,go,0.004519207868725061,0.2002185434103012,0.2035982310771942,-5.399418550778188,-1.6083457919633153,-1.591606682569474
16,0.9,tanh,discrimination,0.004455608781427145,0.05274059623479843,0.054566673934459686,-5.413591576120968,-2.9423697929483845,-2.9083319500820908
16,0.9,tanh,flop,0.00011633042595349252,0.021478550508618355,0.016065334901213646,-9.059075916546046,-3.8407004925952157,-4.131091439995211
16,0.9,tanh,integrator,0.009690913371741772,3.496222972869873,1.458708643913269,-4.636566598311905,1.2516832351844889,0.37755155385737965
16,0.9,relu,go,0.015477160923182964,0.014317469671368599,0.013604233972728252,-4.168389830536081,-4.246274831989506,-4.297374213166485
