hidden,g,phi,task,mse_control,mse_lesion_connectivity,mse_lesion_activity,log_mse_control,log_mse_lesion_connectivity,log_mse_lesion_activity
16,0.1,tanh,go,0.004637473728507757,0.44551435112953186,0.4631667137145996,-5.373585516076434,-0.8085258190558151,-0.769668216888853
16,0.1,tanh,discrimination,0.0006381954881362617,0.3257605731487274,0.40631452202796936,-7.3568659138156605,-1.121592605641372,-0.9006277344958362
16,0.1,tanh,flop,0.00011063853889936581,0.126040518283844,0.09018978476524353,-9.109242076593688,-2.071151850043092,-2.4058391092665814
16,0.1,tanh,integrator,0.04862147197127342,1.2264482975006104,0.6732969284057617,-3.0236900355365313,0.20412242932369035,-0.3955688454407706
16,0.1,relu,go,0.013523422181606293,0.43801558017730713,0.45399653911590576,-4.303332120455472,-0.8255007980572638,-0.7896657040625635
16,0.1,relu,discrimination,0.04852224886417389,0.05018503591418266,0.04953731968998909,-3.025732846759978,-2.9920383860808286,-3.0050289603412144
16,0.1,relu,flop,0.00019941185018979013,0.00019438187882769853,0.00020627054618671536,-8.520138272965722,-8.545685886189709,-8.486321919836032
16,0.1,relu,integrator,0.0014056731015443802,0.0011860140366479754,0.0013313137460500002,-6.567239015084317,-6.737157143191669,-6.62158904529615
16,0.5,tanh,go,0.020066630095243454,2.950314998626709,0.10588957369327545,-3.9086970378333055,1.0819119438467306,-2.245358485487292
16,0.5,tanh,discrimination,0.0068685091100633144,0.05246030166745186,0.054156940430402756,-4.980808210845768,-2.9476985541319625,-2.9158691432883845
16,0.5,tanh,flop,0.00011665542842820287,0.01580752618610859,0.2557336688041687,-9.056286024547003,-4.1472691114705755,-1.3636187322824702
16,0.5,tanh,integrator,0.0207931250333786,0.5711835026741028,0.5582706928253174,-3.8731328741524464,-0.5600447502469211,-0.5829113216397235
16,0.5,relu,go,0.028689062222838402,0.18790853023529053,0.2346467226743698,-3.551239336074548,-1.6717999758534587,-1.4496742037074781
16,0.5,relu,discrimination,0.06485634297132492,0.053494494408369064,0.053280528634786606,-2.7355805631134005,-2.9281765386303777,-2.932184330975151
16,0.5,relu,flop,0.00021944606851320714,0.142800435423851,0.14243970811367035,-8.424404057172978,-1.94630717989467,-1.948836469762596
16,0.5,relu,integrator,0.001110275974497199,0.08813716471195221,0.11273394525051117,-6.803146668886983,-2.4288609880916856,-2.1827247031947814
16,0.9,tanh,go,0.004625213798135519,0.43405619263648987,0.0416756272315979,-5.37623268246227,-0.8345812771420973,-3.177838799910298
