hidden,g,phi,task,mse_control,mse_lesion_connectivity,mse_lesion_activity,log_mse_control,log_mse_lesion_connectivity,log_mse_lesion_activity
16,0.1,tanh,go,0.0051043410785496235,0.4501115679740906,0.45769453048706055,-5.277663909437744,-0.7982597981157329,-0.7815532813894405
16,0.1,tanh,discrimination,0.0008573240484111011,0.24421317875385284,0.32162636518478394,-7.061694591336122,-1.4097137517107072,-1.1343647637416385
16,0.1,tanh,flop,0.00010490316344657913,0.11192229390144348,0.06390894204378128,-9.162472886233324,-2.1899504529321305,-2.750295989301725
16,0.1,tanh,integrator,0.05114220455288887,0.533211886882782,0.4844801723957062,-2.9731452018572058,-0.6288363974474935,-0.7246787723365913
16,0.1,relu,go,0.012015657499432564,0.5921590924263,0.5926324725151062,-4.421544688075604,-0.5239799429949185,-0.5231808486596725
16,0.1,relu,discrimination,0.0483684279024601,0.04602816700935364,0.0479082353413105,-3.0289079941751185,-3.0785017435979944,-3.038467861549618
16,0.1,relu,flop,0.00019214549683965743,0.00021167595696169883,0.00021083327010273933,-8.557257676879056,-8.460453957545248,-8.464442925938709
16,0.1,relu,integrator,0.0016020855400711298,0.0015883727464824915,0.0011691139079630375,-6.436449035961768,-6.445045216697178,-6.751509160723367
16,0.5,tanh,go,0.018141845241189003,0.6762731075286865,0.6849473118782043,-4.009534117241985,-0.3911582793073574,-0.3784133606442983
16,0.5,tanh,discrimination,0.0024523744359612465,0.17197823524475098,0.0638299211859703,-6.010698566220251,-1.7603873494501572,-2.7515332144639495
16,0.5,tanh,flop,0.00011573990195756778,0.00813151802867651,0.01109097059816122,-9.064165108910975,-4.8120076534579095,-4.501623961326781
16,0.5,tanh,integrator,0.01351743470877409,0.5876209735870361,0.5267313718795776,-4.30377496684561,-0.5316731416723176,-0.6410645911764621
16,0.5,relu,go,0.030314626172184944,0.03170163929462433,0.027987459674477577,-3.4961249709814513,-3.4513868866717865,-3.5759987378987637
16,0.5,relu,discrimination,0.057937681674957275,0.05763644352555275,0.0578950010240078,-2.8483872999551365,-2.8536002112542103,-2.849124236230574
16,0.5,relu,flop,0.00019607681315392256,0.15990105271339417,0.15945298969745636,-8.537004071661467,-1.8332000755904532,-1.8360061356394088
16,0.5,relu,integrator,0.0010399346938356757,0.0009497327846474946,0.022239062935113907,-6.868597362189279,-6.959329892254561,-3.8059049446999307
16,0.9,tanh,go,0.003539247205480933,0.9017156958580017,2.2017805576324463,-5.643841228269428,-0.10345600166536921,0.7892663774001034
16,0.9,tanh,discrimination,0.0039154537953436375,0.060136377811431885,0.06259467452764511,-5.542824044291474,-2.8111403325101043,-2.7710750759382337
16,0.9,tanh,flop,0.00013479680637829006,0.008986548520624638,0.009822453372180462,-8.91174205132243,-4.712026428507326,-4.623084353584875
16,0.9,tanh,integrator,0.009477280080318451,1.1285451650619507,0.5004820227622986,-4.658857915240958,0.12092933868278345,-0.6921835994287946
16,0.9,relu,go,0.013598838821053505,0.2492431402206421,0.2541591227054596,-4.297770870690169,-1.389326392201397,-1.3697947407680218
16,0.9,relu,discrimination,0.009050530381500721,5376469052162048.0,49.878082275390625,-4.704931917296861,36.22080824361163,3.9095816733083177
16,0.9,relu,flop,0.00021824408031534404,1.0064419507980347,1.157305121421814,-8.42989648702435,0.006421290115589112,0.1460941311812202
16,0.9,relu,integrator,0.0007850044057704508,40.593292236328125,40.6229248046875,-7.149821227751181,3.7036028371040572,3.7043325576144164
32,0.1,tanh,go,0.004255271982401609,0.270867258310318,1.2039164304733276,-5.45959659834121,-1.306126399837433,0.18557993457177624
32,0.1,tanh,discrimination,0.0008282560156658292,0.1280411034822464,0.11189571768045425,-7.096188253706716,-2.0554039456557684,-2.190187933561382
32,0.1,tanh,flop,9.689462604001164e-05,0.08729508519172668,0.07411788403987885,-9.24188649942886,-2.4384611156397336,-2.6020984257344963
32,0.1,tanh,integrator,0.00934341736137867,0.4605630338191986,0.4416321814060211,-4.6730832091448855,-0.7753055513963998,-0.8172779121137371
32,0.1,relu,go,0.008583170361816883,0.0063881357200443745,0.006263584829866886,-4.757951927693547,-5.053312802761708,-5.073002601247052
32,0.1,relu,discrimination,0.03951338306069374,0.03567558154463768,0.03203028067946434,-3.2311158527956385,-3.3332888145709454,-3.441073552381534
32,0.1,relu,flop,0.00023617714759893715,0.5845751166343689,1.0390311479568481,-8.3509284090978,-0.5368699919827601,0.038288690451997495
32,0.1,relu,integrator,0.00032982073025777936,0.000288690032903105,0.00029696489218622446,-8.016961292756044,-8.150156995954031,-8.121896634275895
32,0.5,tanh,go,0.0026849384885281324,0.7415267825126648,0.6958522796630859,-5.92009746058424,-0.2990439986866955,-0.3626178830375914
32,0.5,tanh,discrimination,0.0002216982829850167,0.08488927036523819,0.05221790820360184,-8.414193186139627,-2.4664075733305935,-2.9523297738937515
32,0.5,tanh,flop,0.00012104463530704379,0.01950608193874359,0.16731980443000793,-9.019351193554481,-3.9370289677468073,-1.7878483012469295
32,0.5,tanh,integrator,0.00694115599617362,0.35923564434051514,0.4076981544494629,-4.970286948280839,-1.0237767149035015,-0.8972281959038371
32,0.5,relu,go,0.009076290763914585,0.009973918087780476,0.009867465123534203,-4.702089676007121,-4.607781784466576,-4.618512284911937
