Hidden_Dim,Connectivity_Strength,Activation_Function,Task,Prob_Treatment
256,0.5,relu,integrator,0.617747874769249
256,0.9,tanh,ready_set_go,0.5670929049654543
256,0.9,tanh,delay_discrimination,0.6034832498647263
256,0.9,tanh,flip_flop,0.6153837563911821
256,0.9,tanh,integrator,0.5793242521487495
256,0.9,relu,ready_set_go,0.6153837563911821
256,0.9,relu,delay_discrimination,0.6502185485738271
256,0.9,relu,flip_flop,0.6615031592029523
256,0.9,relu,integrator,0.6271477663131956
512,0.1,tanh,ready_set_go,0.8130573860319537
512,0.1,tanh,delay_discrimination,0.8347951298093854
512,0.1,tanh,flip_flop,0.8415758211550443
512,0.1,tanh,integrator,0.8205384805926733
512,0.1,relu,ready_set_go,0.8415758211550443
512,0.1,relu,delay_discrimination,0.86056612703835
512,0.1,relu,flip_flop,0.8664582774667876
512,0.1,relu,integrator,0.8481288363433407
512,0.5,tanh,ready_set_go,0.819061206847858
512,0.5,tanh,delay_discrimination,0.8402380030563309
512,0.5,tanh,flip_flop,0.8468362842349139
512,0.5,tanh,integrator,0.826353352980995
512,0.5,relu,ready_set_go,0.8468362842349139
512,0.5,relu,delay_discrimination,0.8652969480479719
512,0.5,relu,flip_flop,0.8710191478537642
512,0.5,relu,integrator,0.8532096601986177
512,0.9,tanh,ready_set_go,0.8249137318359602
512,0.9,tanh,delay_discrimination,0.8455347349164652
512,0.9,tanh,flip_flop,0.8519528019683106
512,0.9,tanh,integrator,0.8320183851339245
512,0.9,relu,ready_set_go,0.8519528019683106
512,0.9,relu,delay_discrimination,0.8698915256370021
512,0.9,relu,flip_flop,0.8754466418125836
512,0.9,relu,integrator,0.8581489350995123
