hidden,g,phi,task,mse_control,std_control,mse_lesion_connectivity,std_lesion_connectivity,mse_lesion_activity,std_lesion_activity
32,0.9,tanh,integrator,-4.672540715454362,-4.083710968352175,-0.7364865618151544,-0.3583244742735858,-0.7303746756136847,-0.3482315207355936
32,0.9,relu,go,-4.756856295423547,-2.497084745738635,-4.792021793296769,-2.515810442055029,-4.78843515548799,-2.526949257613644
32,0.9,relu,discrimination,-6.556142219348351,-3.8881776369741794,-5.897122061613989,-2.4486910047551116,-5.392855232494116,-2.0668045974619305
32,0.9,relu,flop,-7.72096796459605,-6.614656180664488,-0.35932030500835077,0.28582966338305676,-0.3566787075533849,0.289940384325857
32,0.9,relu,integrator,-7.281561830835571,-6.754011339607294,-0.9129512122106421,-0.49109255634077703,-0.930545252560953,-0.5003892197156941
64,0.1,tanh,go,-6.990476490159857,-4.210472386848683,-0.8277308932108267,-0.6704432337390712,-1.527193464361941,-0.8445280672024587
64,0.1,tanh,discrimination,-8.40796496431174,-6.345329354632261,-2.946056765042919,-1.5576679466682657,-2.9042617010313725,-1.5029508927863546
64,0.1,tanh,flop,-8.864344780344087,-6.2342091789541385,-3.9583515906871423,-4.070097529641495,-3.9900229958547624,-3.9506218555537087
64,0.1,tanh,integrator,-2.0333219814526724,-1.4702948655225232,-0.4971948379287197,-0.05542024106465341,-0.5898617945147526,-0.24095939988653842
64,0.1,relu,go,-4.273224329855086,-2.1852989788741852,-4.077294051883988,-2.086034400559831,-4.114468877603308,-2.104793743663952
64,0.1,relu,discrimination,-7.933021427154524,-6.121346284367288,-6.685673742095697,-3.5429445699028452,-6.225952921867284,-2.876436120613912
64,0.1,relu,flop,-8.445497069548445,-6.86292945596187,-8.47225471294129,-6.857798130546357,-8.480405266401133,-6.854460724304697
64,0.1,relu,integrator,-8.324565803213392,-7.735571613168165,-8.268411155486646,-7.6676119113680095,-8.111331623227718,-7.555484074971134
64,0.5,tanh,go,-7.535808344015427,-4.533603062638525,-0.3394153584482331,-0.3747031596270487,-0.39552591099250417,-0.42915203311283123
64,0.5,tanh,discrimination,-8.650901253976295,-7.643950730819381,-2.4919910505110323,-1.118880726255526,-1.7822031176956339,-0.5063909122361145
64,0.5,tanh,flop,-8.905097019591665,-6.963947036912702,-3.143720479635078,-3.1455876285055653,-2.940902173320895,-3.0339722442092354
64,0.5,tanh,integrator,-5.13543694807065,-4.647686051554617,-0.7459154407342384,-0.20136068502228727,-0.7692966952797299,-0.21631179589234464
64,0.5,relu,go,-4.297466978450017,-2.2232677984773606,-4.188065693705466,-2.170448419122357,-4.250760046923239,-2.204659125024588
64,0.5,relu,discrimination,-5.8038853860840565,-2.5281365175458417,-5.1585622249563965,-2.1347504658233047,-5.814926110614023,-2.581387034631776
64,0.5,relu,flop,-7.655774736405006,-6.896548445228231,-1.7388026242559875,-0.5706581503897551,-1.7316505815938743,-0.5822161926534639
64,0.5,relu,integrator,-8.344786545931008,-7.659866461044175,-3.878111734517308,-2.9022499059039215,-3.908917981020242,-2.9344079697469683
64,0.9,tanh,go,-5.791950169659068,-3.0456878024319582,-3.2908081109547713,-2.2790563289715933,-0.502985998375573,-0.5059849051049441
64,0.9,tanh,discrimination,-8.321769169370512,-7.3870749032361305,-1.4302850336515232,-0.7129689578197579,-1.8484128997967608,-0.9338623132636874
64,0.9,tanh,flop,-8.660002924469005,-6.660145901574516,-3.506953685903561,-3.558760575381531,-3.5235357560987906,-3.6870417295257165
64,0.9,tanh,integrator,-5.880845222850342,-5.315196398433562,-1.0873136870889475,-0.5692496908432017,-0.9586894474290243,-0.4565704898445129
64,0.9,relu,go,-4.5805367887310675,-2.371222710466879,-1.7843258576746581,-1.545187955729534,-1.7984270595403127,-1.5728249837243093
64,0.9,relu,discrimination,-7.468830214468015,-5.840471236139477,-7.17888974784858,-4.654805956392669,-7.553739699399462,-5.641262152726463
64,0.9,relu,flop,-7.649844402042623,-6.1092996324779945,-0.20658413090557176,0.020047542005468894,-0.2051907618255541,0.021640948294521824
64,0.9,relu,integrator,-7.284888216160802,-6.66128884213668,-2.0218649032881966,-1.0897143067044566,-2.018941017421296,-1.082601814583393
128,0.1,tanh,go,-6.112531946693976,-3.251577971239774,-2.2706332510201737,-1.2294215840083682,-0.651110942452801,-0.5930510348090576
128,0.1,tanh,discrimination,-8.498896697798456,-7.046125573839761,-2.9002693739282988,-0.8957595466501054,-2.658573218621105,-0.8033382077142576
128,0.1,tanh,flop,-8.833664533015003,-6.549602951393741,-4.787131892339088,-4.609523732302186,-4.905491449892591,-4.565046226614077
128,0.1,tanh,integrator,-2.5500111460311934,-2.0134078611008843,-0.7661038321830292,-0.26245963644689435,-0.7631189582932004,-0.26171210433308106
128,0.1,relu,go,-3.7485092422916146,-1.938415246294949,-3.895111983918916,-2.0154858481076796,-3.9972344920891762,-2.0795705940626754
128,0.1,relu,discrimination,-6.343400761017677,-3.6365235936537603,-6.280509349875435,-3.513869576411506,-5.724589667089359,-2.521668437798179
128,0.1,relu,flop,-7.762113039032123,-5.713947191703938,-7.6959912468028735,-5.707639127107742,-7.734669806361499,-5.722825965527635
128,0.1,relu,integrator,-7.295744580666646,-6.490183059588773,-7.587104227591249,-6.796371970205609,-7.241178883623299,-6.51308073280653
128,0.5,tanh,go,-5.155580268036463,-2.6443402357149237,-2.446700282359834,-1.3248826507445233,-0.64212772355867,-0.6290066592223086
128,0.5,tanh,discrimination,-8.378728770453497,-7.337713774500293,-3.4669411194432422,-1.8822228128494312,-2.965960898028295,-1.547267822073134
128,0.5,tanh,flop,-9.060645040363426,-6.981068948788489,-4.051889423439179,-3.828807785521002,-3.9354469875604994,-3.6343545159040667
128,0.5,tanh,integrator,-5.945822515935905,-5.4816157840011055,-1.0655802907364678,-0.37725465444050515,-1.0680785566967783,-0.38195135004017244
128,0.5,relu,go,-5.281235214346594,-2.8139732298631657,-5.199820210179701,-2.754134437836441,-5.369864825543394,-2.8372540901061405
128,0.5,relu,discrimination,-7.0908638326243425,-3.929838474775122,-6.774513027212939,-3.383564294185844,-7.302365070236746,-4.657529611706188
128,0.5,relu,flop,-7.357444513631236,-5.875242675706716,-3.813281298514728,-3.4328465567089483,-3.8162074199547504,-3.4470292175298156
128,0.5,relu,integrator,-8.23263956493855,-7.758505549293173,-2.6763425158152097,-1.7820657757908047,-2.661692516652533,-1.7743455332812752
128,0.9,tanh,go,-7.994550392102975,-4.756204236033787,-2.803925395089075,-2.0204840973701432,-2.791314002731496,-2.2960225804861243
128,0.9,tanh,discrimination,-8.152944537782242,-7.27086707805957,-4.369805095241795,-3.1009446594617196,-2.5940034602564386,-1.5268374412712256
128,0.9,tanh,flop,-8.369146813960418,-7.294235144864871,-0.516604328982671,-0.01584330505195471,-0.8662914269006364,-0.38556596801882487
128,0.9,tanh,integrator,-6.633841064144199,-6.057865220885236,-1.4349907119790524,-0.785094387516244,-1.5209107379443036,-0.8595386865455531
128,0.9,relu,go,-5.65882896250057,-3.0953429759183706,-0.5295737394773647,-0.5176837129898917,-0.5290936618299562,-0.5176196992269108
128,0.9,relu,discrimination,-7.8924054243451875,-5.993548524784586,-6.663417887835874,-3.5641970224400654,-7.2838293138074945,-4.813256951599395
128,0.9,relu,flop,-7.114743482498876,-6.516490029957152,-1.949810480113911,-0.967437312348887,-1.9471194535491188,-0.9652171652710634
128,0.9,relu,integrator,-7.863451601877406,-7.241129570539516,-1.2484896970262152,-0.38152099704236114,-1.25024122351016,-0.38620554591747486
256,0.1,tanh,go,-5.877261667993979,-3.1041153775278687,0.16227109247806407,-0.011445023518922145,-1.5254066689531414,-1.6788457300349762
256,0.1,tanh,discrimination,-7.69973353612677,-4.31255495451333,-2.7420577652577487,-1.5036086490692646,-2.7831767184974554,-1.497825898989025
256,0.1,tanh,flop,-8.740517591891509,-5.803631110937063,-5.249949238380268,-4.897753592067508,-4.606223436719789,-4.407095164313071
256,0.1,tanh,integrator,-5.267930553387459,-4.725781685586735,0.28730571751667916,0.512222662475095,-0.5301021519887671,-0.09396166414455945
256,0.1,relu,go,-3.9926717599195336,-2.0719371734308796,-3.8201572839951803,-1.9643060166492134,-4.115928621428295,-2.131800582694977
256,0.1,relu,discrimination,-6.0625057328347856,-2.810704503871866,-5.12083975885175,-1.9651142280525948,-6.323953891406832,-3.5832907681064214
256,0.1,relu,flop,-7.467572889401028,-5.8544681592766095,-7.475729373837699,-5.85609495811694,-7.476419262961844,-5.843837858357026
256,0.1,relu,integrator,-6.966876675835403,-6.291045320748469,-7.080991572567536,-6.452971139273403,-6.9896287800811585,-6.339897322305769
256,0.5,tanh,go,-5.9155270787997045,-3.1102211804172617,-0.7866951172208928,-0.6408324148916156,-0.7842512699615987,-0.6880702111711312
256,0.5,tanh,discrimination,-9.06748837380112,-7.416523489122438,-3.0459749732762997,-1.9536350929094664,-1.9134443655422573,-0.7406072966607734
256,0.5,tanh,flop,-8.769016498978528,-6.228958009331003,-4.737841827735383,-4.382012836293814,-4.977275207660063,-4.343384204459818
256,0.5,tanh,integrator,-5.524963414727821,-5.144159178692459,-0.634083651205234,-0.0730267967215188,-0.5019430313845153,0.00031502052810540956
256,0.5,relu,go,-4.612944014206987,-2.403603127024751,-4.607100186719872,-2.4058641404181813,-4.652673847184157,-2.428079946102474
256,0.5,relu,discrimination,-6.47630872965966,-3.743031828383899,-6.542421496203798,-3.877742782022709,-6.9891173921843235,-5.634813458350209
256,0.5,relu,flop,-7.224026289089821,-6.489974905251127,-7.174780001915976,-6.464896455488936,-7.203384536743016,-6.507309762269533
256,0.5,relu,integrator,-7.593271820632043,-7.074412820695992,-3.740573604190691,-2.546393306421032,-3.7507419725322046,-2.592474733770836
256,0.9,tanh,go,-6.443874473164837,-3.584106708648528,-2.725180000809195,-1.48170056861746,-2.7772833385036564,-1.5769667050785512
256,0.9,tanh,discrimination,-8.63299182247528,-6.609625288022469,-1.2325032470861532,-1.2170676373495815,-0.9562303685139937,-0.4626759964492113
256,0.9,tanh,flop,-8.790961108681964,-6.03628597454551,-3.135615187147154,-2.8172009452595335,-2.4700164364850714,-2.058201274478516
256,0.9,tanh,integrator,-6.334530533218377,-5.874825293000221,-0.9856140603387822,-0.5391325448155395,-0.6140377851672025,-0.2096051311276743
256,0.9,relu,go,-5.107294161802056,-2.6938325047578564,-5.10360902264262,-2.703102001209837,-5.0942923928715675,-2.6991651348515777
256,0.9,relu,discrimination,-7.359464937889462,-3.8294426510967288,-8.00019644882837,-5.242985231967092,-7.248256220060181,-3.7913214131840554
256,0.9,relu,flop,-6.674298378069664,-6.057038996918818,-0.694968269518103,0.22320057941219795,-0.6904129230887919,0.22611602351686125
256,0.9,relu,integrator,-7.146514074826866,-6.48632136557298,-2.815993213537833,-1.8208634067222207,-2.8375356901226536,-1.8402015626225245
512,0.1,tanh,go,-5.900404720359425,-3.176757167668676,-1.4763867076541366,-0.9298019419723123,-0.5770200341068208,-0.38412427633163315
512,0.1,tanh,discrimination,-9.0107403895582,-6.71693278664855,-5.272337785581519,-3.2838252653697926,-2.9384687971457293,-1.5163500722393644
512,0.1,tanh,flop,-9.217096338650148,-6.451919263606076,0.3449838798186622,0.6253328964203452,0.32449681540768527,0.5060210044570379
512,0.1,tanh,integrator,-1.7454750876762812,-1.237781899084515,-0.4199806249013434,-0.0647291470122345,-0.47734029514934784,0.03214354582716098
512,0.1,relu,go,-4.337916395059267,-2.248179395022211,-4.391295873219932,-2.2967421507239156,-4.292817825315252,-2.222907085522444
512,0.1,relu,discrimination,-3.8142297930408247,-1.4433315114035326,-4.022688245926111,-1.5106373467967227,-4.229542159528223,-1.8120987096964483
512,0.1,relu,flop,-7.129981050995857,-6.041248995519192,-7.162067244025181,-6.067171094181385,-7.246641176977944,-6.100966880898814
512,0.1,relu,integrator,-7.4510033808361875,-6.80115195161115,-7.3645575970464705,-6.665794377483271,-7.198428952669439,-6.320811445219099
512,0.5,tanh,go,-5.445879741850248,-2.826923978467973,-1.2676393057113862,-0.9365495743537564,-1.7136567834900231,-1.0577266479494398
512,0.5,tanh,discrimination,-7.460213145619498,-4.33525971222096,-2.4173988692648454,-0.8384997524644783,-2.640785285107906,-1.4875628847033402
512,0.5,tanh,flop,-9.79103182963618,-7.435070673786591,-3.6087452712495707,-3.4371837380810644,-0.2531260058104019,-0.5319746484577942
512,0.5,tanh,integrator,-6.399699211333971,-5.897601254923743,-1.4527712271232807,-1.2109475291588205,-0.4727027336408677,-0.028248631694141515
512,0.5,relu,go,-4.563039653141238,-2.3739366932507417,-4.667743943547544,-2.4604219132826435,-4.702230057000135,-2.4620730681168554
512,0.5,relu,discrimination,-7.094255246404595,-3.7593459872953834,-7.231962824049671,-4.4024840888039565,-7.718412323739026,-5.496029875263991
512,0.5,relu,flop,-6.500039517055244,-5.826907818567262,-6.4652124482310604,-5.791871749409028,-6.520025690087037,-5.752710003438314
512,0.5,relu,integrator,-7.444845254206519,-6.768806831545146,-7.386825165978259,-6.89699416616215,-7.199111399265319,-6.57243550514935
512,0.9,tanh,go,-6.475367404369922,-3.509780515787586,-0.9186155397004079,-0.9557698764739965,-0.9429755266313672,-0.9918919656505474
512,0.9,tanh,discrimination,-8.957122491327569,-6.667837521901623,-2.5590343237633864,-1.118990399859873,-2.7271984352940826,-1.4732057806975365
512,0.9,tanh,flop,-7.37756020608477,-2.9579633070532054,-2.982608648456765,-2.615948715533307,-0.3415051652382046,-0.21375272582619292
512,0.9,tanh,integrator,-7.166441565914991,-6.717175411204788,-2.0500554619949827,-1.56075074471816,-0.7886245355635377,-0.2639377530715339
512,0.9,relu,go,-5.171515508405868,-2.7445033252983753,-4.4786079982358755,-2.3784738048132383,-4.501409269909184,-2.3955150321654974
512,0.9,relu,discrimination,-8.194109989376528,-6.165225092763451,-8.127785966843557,-6.018239602154464,-8.303217284410605,-6.500533136818887
512,0.9,relu,flop,-6.484273558130998,-5.839152946095327,-1.5662919887841271,-0.6392170468203728,-1.5931826593770184,-0.6475217917955098
512,0.9,relu,integrator,-7.245058832687543,-6.443587764656674,-6.926873761689938,-6.242520821881302,-6.8359771718508275,-6.0990653746254795
